destination,type
Agra Uttar Pradesh,Historical
Delhi Delhi,Historical 
Jaipur Rajasthan,Historical 
Udaipur Rajasthan,historical 
Jodhpur Rajasthan,Historical 
Jaisalmer Rajasthan,Desert 
Amritsar Punjab,Religious 
Varanasi Uttar Pradesh,Religious 
Mumbai Maharashtra,City
Goa,Beach 
Kerala,Nature 
Rishikesh Uttarakhand,religious
Haridwar Uttarakhand,Religious 
Shimla Himachal Pradesh,Hill Station
Manali Himachal Pradesh,Hill Station 
Ladakh,Mountain
Kolkata West Bengal,City
Chennai Tamil Nadu,City
Hyderabad Telangana,City
Bengaluru Karnataka,City
Mysore Karnataka,Historical 
Pune Maharashtra,Historical
Ooty Tamil Nadu,Hill Station
Darjeeling West Bengal,Hill Station
Gangtok Sikkim,Hill Station
Shillong Meghalaya,Hill Station
Kaziranga Assam,National Park
Kochi Kerala,Beach
Alleppey Kerala,Nature
Munnar Kerala,Hill Station
Kanyakumari Tamil Nadu,Beach
Rameswaram Tamil Nadu,Religious 
Tirupati Andhra Pradesh,Religious 
Khajuraho Madhya Pradesh,Heritage
Hampi Karnataka,Heritage 
Mahabalipuram Tamil Nadu,Heritage  
Puducherry,Beach
Andaman Islands,Beach
Lakshadweep,Beach
Diu Daman and Diu,Beach 
Rann of Kutch Gujrat,Desert
Sundarbans West Bengal,National Park
Ranthambore Rajasthan,National Park
Gir Gujrat,National Park
Mount Abu Rajasthan,Hill Station
Coorg Karnataka,Hill Station 
Auli Uttarakhand,Hill Station
Srinagar Jammu and Kashmir,Hill Station
Gulmarg Jammu and Kashmir,Hill Station 
Puri Odisha,Religious 
Bhubaneswar Odisha,Historical 
Aurangabad Maharashtra,Historical
Madurai Tamil Nadu,Religious 
Lucknow Uttar Pradesh,Historical 
Visakhapatnam Andhra Pradesh,Beach
Cherrapunjee Meghalaya,Hill Station
